availabilitySensorWrites;Cloud-f150-n200;30.7
cloudDeployments;Replica-f160-n200;0
availabilityCloudReads;Replica-f160-n200;145.75
availabilitySensorWrites;Replica-f160-n200;34.85
cloudDeployments;FstrRep-f160-n200;0
availabilityCloudReads;FstrRep-f160-n200;145.6
availabilitySensorWrites;FstrRep-f160-n200;38.2
cloudDeployments;Single-f160-n200;0
availabilityCloudReads;Single-f160-n200;98.95
availabilitySensorWrites;Single-f160-n200;30.7
cloudDeployments;Cloud-f160-n200;160
availabilityCloudReads;Cloud-f160-n200;160.0
availabilitySensorWrites;Cloud-f160-n200;32.8
cloudDeployments;Replica-f170-n200;0
availabilityCloudReads;Replica-f170-n200;155.2
availabilitySensorWrites;Replica-f170-n200;37.8
cloudDeployments;FstrRep-f170-n200;0
availabilityCloudReads;FstrRep-f170-n200;154.35
availabilitySensorWrites;FstrRep-f170-n200;42.05
cloudDeployments;Single-f170-n200;0
availabilityCloudReads;Single-f170-n200;104.2
availabilitySensorWrites;Single-f170-n200;33.5
cloudDeployments;Cloud-f170-n200;170
availabilityCloudReads;Cloud-f170-n200;170.0
availabilitySensorWrites;Cloud-f170-n200;35.9
cloudDeployments;Replica-f180-n200;0
availabilityCloudReads;Replica-f180-n200;164.05
availabilitySensorWrites;Replica-f180-n200;39.05
cloudDeployments;FstrRep-f180-n200;0
availabilityCloudReads;FstrRep-f180-n200;164.1
availabilitySensorWrites;FstrRep-f180-n200;43.6
cloudDeployments;Single-f180-n200;0
availabilityCloudReads;Single-f180-n200;110.3
availabilitySensorWrites;Single-f180-n200;34.95
cloudDeployments;Cloud-f180-n200;180
availabilityCloudReads;Cloud-f180-n200;180.0
availabilitySensorWrites;Cloud-f180-n200;37.6
cloudDeployments;Replica-f190-n200;0
availabilityCloudReads;Replica-f190-n200;172.65
availabilitySensorWrites;Replica-f190-n200;40.75
cloudDeployments;FstrRep-f190-n200;0
availabilityCloudReads;FstrRep-f190-n200;172.65
availabilitySensorWrites;FstrRep-f190-n200;45.75
cloudDeployments;Single-f190-n200;0
availabilityCloudReads;Single-f190-n200;116.2
availabilitySensorWrites;Single-f190-n200;36.6
cloudDeployments;Cloud-f190-n200;190
availabilityCloudReads;Cloud-f190-n200;190.0
availabilitySensorWrites;Cloud-f190-n200;39.1
cloudDeployments;Replica-f200-n200;0
availabilityCloudReads;Replica-f200-n200;180.85
availabilitySensorWrites;Replica-f200-n200;42.15
cloudDeployments;FstrRep-f200-n200;0
availabilityCloudReads;FstrRep-f200-n200;181.8
availabilitySensorWrites;FstrRep-f200-n200;47.05
cloudDeployments;Single-f200-n200;0
availabilityCloudReads;Single-f200-n200;121.1
availabilitySensorWrites;Single-f200-n200;37.55
cloudDeployments;Cloud-f200-n200;200
availabilityCloudReads;Cloud-f200-n200;200.0
