node,hopcount,latency,power,deploymentPenalty,cost
175,4,459,717.0,40,1
176,6,372,623.5,1,1
177,6,392,722.5,40,1
178,5,583,818.0,1,1
179,6,469,739.0,40,1
180,6,529,574.0,1,1
181,3,513,771.5,40,1
182,3,348,809.0,1,1
183,6,624,802.0,40,1
184,5,455,622.0,1,1
185,4,561,596.0,40,1
186,5,499,738.0,1,1
187,5,405,606.0,40,1
188,4,373,807.0,1,1
189,4,453,551.5,40,1
190,4,460,561.0,1,1
191,4,405,663.0,40,1
192,6,953,664.5,1,1
193,7,676,586.5,40,1
194,5,540,810.5,1,1
195,5,615,618.0,40,1
196,5,753,666.0,1,1
197,6,548,595.5,40,1
198,6,963,748.5,1,1
199,7,788,734.0,40,1
