availabilityCloudReads;Replica-f150-n200;145
availabilitySensorWrites;Replica-f150-n200;3
cloudDeployments;FstrRep-f150-n200;0
availabilityCloudReads;FstrRep-f150-n200;149
availabilitySensorWrites;FstrRep-f150-n200;2
cloudDeployments;Single-f150-n200;0
availabilityCloudReads;Single-f150-n200;126
availabilitySensorWrites;Single-f150-n200;0
cloudDeployments;Cloud-f150-n200;150
availabilityCloudReads;Cloud-f150-n200;150
availabilitySensorWrites;Cloud-f150-n200;2
cloudDeployments;Replica-f160-n200;0
availabilityCloudReads;Replica-f160-n200;156
availabilitySensorWrites;Replica-f160-n200;2
cloudDeployments;FstrRep-f160-n200;0
availabilityCloudReads;FstrRep-f160-n200;159
availabilitySensorWrites;FstrRep-f160-n200;3
cloudDeployments;Single-f160-n200;0
availabilityCloudReads;Single-f160-n200;132
availabilitySensorWrites;Single-f160-n200;0
cloudDeployments;Cloud-f160-n200;160
availabilityCloudReads;Cloud-f160-n200;160
availabilitySensorWrites;Cloud-f160-n200;2
cloudDeployments;Replica-f170-n200;0
availabilityCloudReads;Replica-f170-n200;164
availabilitySensorWrites;Replica-f170-n200;5
cloudDeployments;FstrRep-f170-n200;2
availabilityCloudReads;FstrRep-f170-n200;169
availabilitySensorWrites;FstrRep-f170-n200;3
cloudDeployments;Single-f170-n200;0
availabilityCloudReads;Single-f170-n200;141
availabilitySensorWrites;Single-f170-n200;1
cloudDeployments;Cloud-f170-n200;170
availabilityCloudReads;Cloud-f170-n200;170
availabilitySensorWrites;Cloud-f170-n200;2
cloudDeployments;Replica-f180-n200;0
availabilityCloudReads;Replica-f180-n200;175
availabilitySensorWrites;Replica-f180-n200;8
cloudDeployments;FstrRep-f180-n200;11
availabilityCloudReads;FstrRep-f180-n200;178
availabilitySensorWrites;FstrRep-f180-n200;5
cloudDeployments;Single-f180-n200;0
availabilityCloudReads;Single-f180-n200;151
availabilitySensorWrites;Single-f180-n200;1
cloudDeployments;Cloud-f180-n200;180
availabilityCloudReads;Cloud-f180-n200;180
availabilitySensorWrites;Cloud-f180-n200;2
cloudDeployments;Replica-f190-n200;0
availabilityCloudReads;Replica-f190-n200;189
availabilitySensorWrites;Replica-f190-n200;5
cloudDeployments;FstrRep-f190-n200;25
availabilityCloudReads;FstrRep-f190-n200;188
availabilitySensorWrites;FstrRep-f190-n200;3
cloudDeployments;Single-f190-n200;0
availabilityCloudReads;Single-f190-n200;159
availabilitySensorWrites;Single-f190-n200;1
cloudDeployments;Cloud-f190-n200;190
availabilityCloudReads;Cloud-f190-n200;190
availabilitySensorWrites;Cloud-f190-n200;2
cloudDeployments;Replica-f200-n200;0
availabilityCloudReads;Replica-f200-n200;196
availabilitySensorWrites;Replica-f200-n200;4
cloudDeployments;FstrRep-f200-n200;39
availabilityCloudReads;FstrRep-f200-n200;199
availabilitySensorWrites;FstrRep-f200-n200;1
